Year,Month,State,cdd,hdd,pcp,tavg,tmax,tmin
2021,2,Alabama,3.0,547.0,4.22,46.7,57.7,35.8
2021,2,Alaska,,,1.93,1.0,8.6,-6.6
2021,2,Arizona,10.0,320.0,0.23,46.5,60.6,32.4
2021,2,Arkansas,0.0,869.0,3.4,34.8,43.7,26.0
2021,2,California,0.0,406.0,1.39,47.4,58.7,36.0
2021,2,Colorado,0.0,1153.0,1.11,24.8,36.5,13.0
2021,2,Connecticut,0.0,999.0,3.04,28.5,35.9,21.2
2021,2,Delaware,0.0,850.0,5.65,35.6,42.7,28.5
2021,2,Florida,152.0,93.0,4.12,63.7,74.4,53.0
2021,2,Georgia,3.0,521.0,5.64,49.5,60.2,38.8
2021,2,Hawaii,,,5.39,63.3,70.5,56.0
2021,2,Idaho,0.0,1005.0,3.06,25.4,33.6,17.1
2021,2,Illinois,0.0,1318.0,1.67,20.8,28.7,12.8
2021,2,Indiana,0.0,1169.0,2.21,23.7,31.6,15.8
2021,2,Iowa,0.0,1471.0,0.79,12.5,20.5,4.5
2021,2,Kansas,0.0,1150.0,0.22,24.1,34.8,13.3
2021,2,Kentucky,0.0,923.0,4.51,32.3,40.4,24.2
2021,2,Louisiana,7.0,445.0,4.23,47.8,57.2,38.4
2021,2,Maine,0.0,1195.0,2.9,18.5,28.0,9.0
2021,2,Maryland,0.0,860.0,4.34,34.2,41.2,27.3
2021,2,Massachusetts,0.0,1015.0,3.21,27.6,35.3,20.0
2021,2,Michigan,0.0,1246.0,1.28,17.4,26.7,8.1
2021,2,Minnesota,0.0,1600.0,0.31,6.5,15.7,-2.7
2021,2,Mississippi,2.0,568.0,5.11,44.2,54.5,33.8
2021,2,Missouri,0.0,1169.0,1.15,24.4,33.0,15.7
2021,2,Montana,0.0,1368.0,1.39,13.7,23.7,3.8
2021,2,Nebraska,0.0,1398.0,0.62,16.5,26.6,6.5
2021,2,Nevada,0.0,535.0,0.83,35.6,46.6,24.5
2021,2,New Hampshire,0.0,1204.0,2.69,20.6,29.7,11.4
2021,2,New Jersey,0.0,941.0,4.73,32.0,39.1,25.0
2021,2,New Mexico,0.0,733.0,0.39,37.3,52.0,22.6
2021,2,New York,0.0,1049.0,2.34,21.7,30.3,13.1
2021,2,North Carolina,0.0,642.0,6.54,42.2,51.1,33.2
2021,2,North Dakota,0.0,1664.0,0.18,5.8,16.0,-4.5
2021,2,Ohio,0.0,1120.0,2.03,25.2,32.7,17.8
2021,2,Oklahoma,0.0,948.0,0.8,31.3,42.0,20.6
2021,2,Oregon,0.0,734.0,4.47,33.6,41.4,25.8
2021,2,Pennsylvania,0.0,1018.0,3.02,26.6,34.2,18.9
2021,2,Rhode Island,0.0,955.0,3.64,30.9,38.0,23.8
2021,2,South Carolina,2.0,509.0,6.27,47.2,57.1,37.3
2021,2,South Dakota,0.0,1462.0,0.37,12.8,23.4,2.3
2021,2,Tennessee,0.0,767.0,5.05,37.4,46.4,28.5
2021,2,Texas,5.0,522.0,0.99,44.0,56.0,32.0
2021,2,Utah,0.0,977.0,0.92,32.2,42.8,21.6
2021,2,Vermont,0.0,1280.0,2.21,18.8,28.0,9.7
2021,2,Virginia,0.0,794.0,4.9,36.6,44.6,28.6
